Vacancy_id;Vacancy_name;Vacancy_url;Salary_min;Salary_max;Salary_cur;Employer_name;Employer_url;Employer_city
82968462;Data Scientist;https://hh.ru/vacancy/82968462;0;0;-;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy;Санкт-Петербург
84072616;Data Scientist (Департамент розничных рисков);https://hh.ru/vacancy/84072616;0;0;-;ПСБ (ПАО «Промсвязьбанк»);https://hh.ru/employer/6591?hhtmFrom=vacancy;-
81509039;Инженер-программист Data Scientist (Computer Vision);https://hh.ru/vacancy/81509039;120000;150000;₽;Радиоавионика;https://hh.ru/employer/738089?hhtmFrom=vacancy;-
83153729;Data Scientist (NLP, NER);https://hh.ru/vacancy/83153729;0;0;-;ФГБУ ЦСП ФМБА России;https://hh.ru/employer/2853703?hhtmFrom=vacancy;-
83084971;Data Scientist в R&D-команду SupportAI;https://hh.ru/vacancy/83084971;0;0;-;Яндекс;https://hh.ru/employer/1740?hhtmFrom=vacancy;Москва
83932486;Data Scientist;https://hh.ru/vacancy/83932486;0;0;-;USETECH;https://hh.ru/employer/681672?hhtmFrom=vacancy;Москва
83808762;Data scientist (нестандартные ML-модели);https://hh.ru/vacancy/83808762;0;0;-;Банк Хоум Кредит;https://hh.ru/employer/1496?hhtmFrom=vacancy;Москва
83360750;Data Scientist Управления модельных рисков и валидации;https://hh.ru/vacancy/83360750;0;0;-;ПАО ВТБ, Технологический блок;https://hh.ru/employer/4181?dpt=vtb-4181-teh&hhtmFrom=vacancy;Москва
81854583;Data Scientist R&D;https://hh.ru/vacancy/81854583;0;0;-;Rubbles;https://hh.ru/employer/2223982?hhtmFrom=vacancy;-
81118017;Data Scientist (Прогнозирование);https://hh.ru/vacancy/81118017;0;0;-;Компания «СПОРТМАСТЕР», Sportmaster Lab;https://hh.ru/employer/2343?dpt=2343-2343-it&hhtmFrom=vacancy;Москва
83572774;Research Scientist;https://hh.ru/vacancy/83572774;0;0;-;Пану Ольга Германовна;https://hh.ru/employer/9811301?hhtmFrom=vacancy;-
84080022;Data Scientist в Антифрод;https://hh.ru/vacancy/84080022;0;0;-;WILDBERRIES;https://hh.ru/employer/87021?hhtmFrom=vacancy;-
82992190;Lead Data Scientist;https://hh.ru/vacancy/82992190;0;0;-;Сбер. IT;https://hh.ru/employer/3529?dpt=3529-3529-it&hhtmFrom=vacancy;Москва
82624745;Экономист-аналитик (junior/middle data scientist);https://hh.ru/vacancy/82624745;0;0;-;Аналитический центр при Правительстве Российской Федерации;https://hh.ru/employer/211052?hhtmFrom=vacancy;-
83216572;Data scientist (computer vision);https://hh.ru/vacancy/83216572;200000;200000;₽;АО Гознак. Информационные технологии;https://hh.ru/employer/99759?dpt=99759-99759-it&hhtmFrom=vacancy;Москва, Шаболовская
82918125;Data Scientist;https://hh.ru/vacancy/82918125;0;0;-;Cloud.ru;https://hh.ru/employer/3853446?hhtmFrom=vacancy;-
83949802;Data Scientist в Блок Риски;https://hh.ru/vacancy/83949802;0;0;-;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy;Москва
83995605;Data scientist / Разработчик скоринговых моделей;https://hh.ru/vacancy/83995605;0;0;-;ООО АйтиСФ;https://hh.ru/employer/4562612?hhtmFrom=vacancy;-
82923962;Data Scientist, Маркетплейс, Антибот;https://hh.ru/vacancy/82923962;0;0;-;Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy;-
83679681;Аналитик данных (Data Scientist);https://hh.ru/vacancy/83679681;0;0;-;ООО Рывок.Диджитал;https://hh.ru/employer/2337178?hhtmFrom=vacancy;-
82932304;Data Scientist (NLP) Middle+;https://hh.ru/vacancy/82932304;0;0;-;Neuro.net;https://hh.ru/employer/3765831?hhtmFrom=vacancy;-
82435389;Data scientist;https://hh.ru/vacancy/82435389;0;0;-;АО ЦИФРОВЫЕ ТЕХНОЛОГИИ ЗДОРОВЬЯ;https://hh.ru/employer/23326?hhtmFrom=vacancy;-
83453439;Data scientist (Оптимизация логистики);https://hh.ru/vacancy/83453439;0;0;-;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy;Москва
