name;link;time
Украина получает миллиарды от США и Европы.;https://lenta.ru/articles/2023/08/02/help_ukr/;00:01, 02.08.2023
Названы последствия для НАТО от учений России в Балтийском море;https://lenta.ru/news/2023/08/05/infobrics_/;12:40, 05.08.2023
Курсы евро и доллара рекордно выросли.;https://lenta.ru/extlink/2023/08/02/eurodoll/?intlnk=true;20:06, 02.08.2023
Медведев отреагировал на атаку на танкер близ Керченского пролива;https://lenta.ru/news/2023/08/05/dam/;12:39, 05.08.2023
Российский военный оценил разработанный с учетом пожеланий участников СВО дрон;https://lenta.ru/news/2023/08/05/gastello_dron/;12:35, 05.08.2023
Российские военные прокатились на трофейном американском БТР и попали на видео;https://lenta.ru/news/2023/08/05/m113_svo/;12:32, 05.08.2023
СБУ назвала атаку на российский танкер в Керченском проливе спецоперацией;https://lenta.ru/news/2023/08/05/svo/;12:30, 05.08.2023
Европейский клуб передумал покупать игрока из РПЛ;https://lenta.ru/news/2023/08/05/spertsyan/;12:22, 05.08.2023
Все вокруг шутят про Райана Гослинга.;https://lenta.ru/extlink/2023/08/02/gossling/?intlnk=true;00:01, 02.08.2023
«Аталанта» захотела обменять Миранчука;https://lenta.ru/news/2023/08/05/miranchuk/;12:17, 05.08.2023
«У меня два высших. Здесь я так, для души»;https://lenta.ru/articles/2023/08/02/ero/;00:01, 02.08.2023
Близ Севастополя заметили беспилотник;https://lenta.ru/news/2023/08/05/besp_sevas/;12:17, 05.08.2023
В Китае раскрыли новые детали поиска воды на Луне;https://lenta.ru/news/2023/08/05/moon/;12:12, 05.08.2023
На Украине заявили о невозможности восстановить ядерный арсенал;https://lenta.ru/news/2023/08/05/danilov_nuclear_weapon/;12:09, 05.08.2023
Бывший президент Польши рассказал о грядущем дне свободы для Белоруссии;https://lenta.ru/news/2023/08/05/free_belorussia/;12:06, 05.08.2023
Дачникам назвали условия для получения миллиона рублей;https://lenta.ru/news/2023/08/05/million/;12:05, 05.08.2023
По всей Украине второй раз за утро объявили воздушную тревогу;https://lenta.ru/news/2023/08/05/snova/;11:55, 05.08.2023
Христианские секты, деревенские маньяки и новые «Звездные войны»:;https://lenta.ru/articles/2023/08/02/seriesaug/;00:01, 02.08.2023
Попавший в плен в ДНР назвал Украину полигоном для испытания западного оружия;https://lenta.ru/news/2023/08/05/zap_zap/;11:51, 05.08.2023
«Убивать американцев — долг мусульманина»;https://lenta.ru/articles/2023/08/01/al_qaeda/;00:02, 01.08.2023
В Воронеже мужчина напал на подростка в маршрутке;https://lenta.ru/news/2023/08/05/voronezh_marshrutka/;11:49, 05.08.2023
Украинка Харлан рассказала о проблемах после дисквалификации на чемпионате мира;https://lenta.ru/news/2023/08/05/kharlan/;11:35, 05.08.2023
